"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.369458350E-1,-1.377667665E0,-2.051845491E-1,1.100997543E1,1.109773076E1
4.390162280E-1,-1.367498159E0,-2.147558331E-1,1.108116150E1,1.116728756E1
4.410943730E-1,-1.366301775E0,-2.195414752E-1,1.117687416E1,1.126221537E1
4.431691720E-1,-1.369890928E0,-2.434697002E-1,1.126301575E1,1.134862998E1
4.452435840E-1,-1.374078393E0,-2.488535494E-1,1.135394382E1,1.143949561E1
4.473142030E-1,-1.372882009E0,-2.344966233E-1,1.143948650E1,1.152395961E1
4.493804860E-1,-1.376471281E0,-2.536391914E-1,1.153520012E1,1.161980412E1
4.514657830E-1,-1.385444283E0,-2.733799815E-1,1.159741306E1,1.168307247E1
4.535406020E-1,-1.384846091E0,-2.973082066E-1,1.166441250E1,1.175009403E1
4.556163370E-1,-1.379462242E0,-3.355933726E-1,1.172183990E1,1.180750057E1
4.576882670E-1,-1.383649707E0,-3.403790295E-1,1.178405285E1,1.186988820E1
4.597630240E-1,-1.387837172E0,-3.403790295E-1,1.185045433E1,1.193629833E1
4.618366120E-1,-1.396211982E0,-3.840480447E-1,1.191805172E1,1.200570105E1
4.639107500E-1,-1.405783296E0,-4.127618968E-1,1.195155048E1,1.204101981E1
4.659846950E-1,-1.419542074E0,-4.127618968E-1,1.197547913E1,1.206638191E1
4.680594520E-1,-1.429113269E0,-4.366901219E-1,1.201376438E1,1.210634534E1
4.701307920E-1,-1.438684583E0,-4.414757788E-1,1.201854992E1,1.211240093E1
4.721927930E-1,-1.457229018E0,-4.558327198E-1,1.204726410E1,1.214363505E1
4.742821590E-1,-1.466800332E0,-4.558327198E-1,1.204307652E1,1.214063337E1
4.763569070E-1,-1.462014675E0,-4.558327198E-1,1.204786205E1,1.214480343E1
4.784340860E-1,-1.490728498E0,-4.462614357E-1,1.203829098E1,1.213844596E1
4.805015800E-1,-1.496112347E0,-4.366901219E-1,1.201914787E1,1.211977582E1
4.825667360E-1,-1.511067510E0,-4.223332107E-1,1.196172047E1,1.206418032E1
4.846538230E-1,-1.525424480E0,-4.223332107E-1,1.193839073E1,1.204285923E1
4.867289370E-1,-1.540379524E0,-3.888336718E-1,1.189531994E1,1.200094151E1
4.888028810E-1,-1.574477315E0,-3.547359705E-1,1.184806156E1,1.195748214E1
4.908758790E-1,-1.594218135E0,-3.451646566E-1,1.177149105E1,1.188396700E1
4.929505150E-1,-1.599601984E0,-3.499503136E-1,1.171406364E1,1.182795328E1
4.950247440E-1,-1.614557028E0,-3.547359705E-1,1.165244770E1,1.176911931E1
4.970986780E-1,-1.630110383E0,-3.355933726E-1,1.159502029E1,1.171385412E1
4.991723570E-1,-1.654636860E0,-3.302095234E-1,1.153819084E1,1.166090517E1
5.012470140E-1,-1.668993831E0,-3.206382394E-1,1.151426220E1,1.163901127E1
5.033211210E-1,-1.683350682E0,-3.014956415E-1,1.149033451E1,1.161689960E1
5.053915350E-1,-1.693520188E0,-2.727817893E-1,1.144247818E1,1.157033826E1
5.074699250E-1,-1.698305845E0,-2.392822653E-1,1.143290615E1,1.156083223E1
5.095419560E-1,-1.698904037E0,-2.009970993E-1,1.141376400E1,1.154126004E1
5.116084950E-1,-1.713261008E0,-1.818545163E-1,1.140897846E1,1.153833280E1
5.136890820E-1,-1.698305845E0,-1.579262912E-1,1.144247818E1,1.156890186E1
5.157536370E-1,-1.688734531E0,-1.627119333E-1,1.147119141E1,1.159597050E1
5.178411710E-1,-1.688136339E0,-1.627119333E-1,1.150887871E1,1.163316675E1
5.199032540E-1,-1.668395638E0,-1.722832322E-1,1.155673504E1,1.167781445E1
5.219825380E-1,-1.673181176E0,-1.866401732E-1,1.157587814E1,1.169766321E1
5.240638690E-1,-1.671984792E0,-1.824527234E-1,1.164287663E1,1.176373233E1
5.261384230E-1,-1.671984792E0,-1.968096644E-1,1.168594742E1,1.180659283E1
5.282039840E-1,-1.666002750E0,-1.872383654E-1,1.174756241E1,1.186658527E1
5.302861480E-1,-1.651645780E0,-1.680957973E-1,1.178106213E1,1.189746254E1
5.323600310E-1,-1.650449395E0,-1.585244983E-1,1.184746265E1,1.196292124E1
5.344373730E-1,-1.635494232E0,-1.728814393E-1,1.191924763E1,1.203217326E1
5.365060380E-1,-1.620539188E0,-1.639083475E-1,1.198086262E1,1.209107449E1
5.385680900E-1,-1.629512191E0,-1.782652885E-1,1.203350544E1,1.214464251E1
5.406575570E-1,-1.614557028E0,-2.021935135E-1,1.210050392E1,1.220941734E1
5.427322140E-1,-1.609173179E0,-2.261217386E-1,1.216750336E1,1.227553287E1
5.448094640E-1,-1.579861164E0,-2.650051117E-1,1.220100307E1,1.230571676E1
5.468774370E-1,-1.564906001E0,-3.032902777E-1,1.225783253E1,1.236104260E1
5.489442390E-1,-1.545165181E0,-3.463610709E-1,1.229133129E1,1.239291436E1
5.510290170E-1,-1.540379524E0,-3.559323549E-1,1.231525993E1,1.241632329E1
5.531046810E-1,-1.512263894E0,-3.894318938E-1,1.228176022E1,1.238063945E1
5.551793480E-1,-1.482951880E0,-4.277170599E-1,1.234397411E1,1.244008782E1
5.572513290E-1,-1.449452281E0,-4.372883439E-1,1.233858967E1,1.243112738E1
5.593232270E-1,-1.439880967E0,-4.420739710E-1,1.231944752E1,1.241118341E1
5.613889720E-1,-1.420738459E0,-4.420739710E-1,1.231944752E1,1.240897717E1
5.634737710E-1,-1.396810174E0,-4.516452849E-1,1.231944752E1,1.240660507E1
5.655478270E-1,-1.377667665E0,-4.325026870E-1,1.231884956E1,1.240318835E1
